year,cpi
1959,29.41
1960,29.81
1961,30.01
1962,30.38
1963,30.88
1964,31.25
1965,31.85
1966,32.92
1967,34
1968,35.6
1969,37.7
1970,39.8
1971,41.1
1972,42.5
1973,46.3
1974,51.9
1975,55.6
1976,58.4
1977,62.3
1978,67.9
1979,76.9
1980,86.4
1981,94.1
1982,97.7
1983,101.4
1984,105.5
1985,109.5
1986,110.8
1987,115.6
1988,120.7
1989,126.3
1990,134.2
1991,138.2
1992,142.3
1993,146.3
1994,150.1
1995,153.9
1996,159.1
1997,161.8
1998,164.4
1999,168.8
2000,174.6
2001,177.4
2002,181.8
2003,185.5
2004,191.7
2005,198.1
2006,203.1
2007,211.445
2008,211.398
2009,217.347
2010,220.472
2011,227.223
2012,231.221
2013,234.723
2014,236.29
2015,237.846
2016,242.821
