year,maize_area,rice_area,soybeans_area,wheat_area,maize_prod,rice_prod,soybeans_prod,wheat_prod,area,prod,yield_trend_sum,yield_trend,yield_shock,cpi,W_spot_cont,W_spot_price,W_fut_cont,W_fut_price,S_spot_cont,S_spot_price,S_fut_cont,S_fut_price,RR_spot_cont,RR_spot_price,RR_fut_cont,RR_fut_price,C_spot_cont,C_spot_price,C_fut_cont,C_fut_price,kappa_maize,kappa_rice,kappa_soybeans,kappa_wheat,fut_price,ln_q,ln_p,ln_w,trendsp1,trendsp2,trendsp3
1959,,,,,,,,,,,,,,29.41,01dec1959,196.66667,01dec1960,191.41499,01nov1959,221.43077,01nov1960,207.07143,,,,,01dec1959,109.34,01dec1960,109.89,3.3408117,2.8377166,4.5104489,2.9867055,172.8006,,,,1959,0,0
1960,,,,,,,,,,,,,,29.809999,01dec1960,205.05,01dec1961,198.59523,01nov1960,215.33076,01nov1961,215.52142,,,,,01dec1960,103.9,01dec1961,116.305,3.3408117,2.8377166,4.5104489,2.9867055,180.27339,,1.7708036,,1960,0,0
1961,105559708,115365135,23818820,204209450,205027583,215646633,26883158,222357231,448.953108549118,2082.273252487183,2173.751957893372,4.8418241,.95791668,30.01,01dec1961,204.68462,01dec1962,217.40953,01nov1961,241.7,01nov1962,235.595,,,,,01dec1961,107.16923,01dec1962,115.00455,3.3408117,2.8377166,4.5104489,2.9867055,193.41138,7.6412153,1.7996306,-.042994481,1961,0,0
1962,103496674,119452419,23822275,207554518,204876937,226456297,27120148,250319146,454.3258856534958,2197.0276927948,2237.614954948425,4.9251318,.98186135,30.379999,01dec1962,207.875,01dec1963,196.84091,01nov1962,242.59232,01nov1963,238.66316,,,,,01dec1962,109.775,01dec1963,112.47727,3.3408117,2.8377166,4.5104489,2.9867055,188.24097,7.6948605,1.8632888,-.018305169,1962,0,0
1963,108427548,120151882,24398949,206130240,220228333,247119211,28207071,233339473,459.1086211204529,2261.138512611389,2329.528697967529,5.0740252,.97064203,30.879999,01dec1963,216.33571,01dec1964,181.00455,01nov1963,282.61539,01nov1964,255.70526,,,,,01dec1963,117.62857,01dec1964,118.77273,3.3408117,2.8377166,4.5104489,2.9867055,192.90982,7.7236238,1.8239384,-.029797539,1963,0,0
1964,107925200,125056100,25681026,216539177,215172627,262928956,29079547,268791657,475.2015020847321,2398.932410240173,2434.698335647583,5.123507,.9853099,31.25,01dec1964,149.91333,01dec1965,150.24738,01nov1964,274.33334,01nov1965,254.13182,,,,,01dec1964,122.41333,01dec1965,119.275,3.3408117,2.8377166,4.5104489,2.9867055,183.93382,7.7827792,1.8321141,-.01479907,1964,.00041649313,0
1965,106676579,124828874,25819966,216979762,226544256,254059664,31704923,263645963,474.3051844835281,2408.227325439453,2482.317698478699,5.2335877,.97015274,31.85,01dec1965,164.92857,01dec1966,167.77142,01nov1965,250.97144,01nov1966,257.45999,,,,,01dec1965,122.12143,01dec1966,123.2,3.3408117,2.8377166,4.5104489,2.9867055,191.35805,7.7866464,1.7725567,-.030301761,1965,.003331945,0
1966,111241045,125680517,26534256,215766959,245599160,261181258,36412918,303785460,479.222775220871,2633.215261459351,2576.450964927673,5.3763118,1.022032,32.919998,01dec1966,176.96429,01dec1967,176.105,01nov1966,296.14615,01nov1967,284.27142,,,,,01dec1966,142.67143,01dec1967,133.25,3.3408117,2.8377166,4.5104489,2.9867055,207.91066,7.8759608,1.7931088,.021792825,1966,.011245314,0
1967,112457754,127537654,28112290,219749378,272548473,277386363,37933319,294295876,487.8570736646652,2747.748407363892,2705.280599594116,5.5452318,1.0156981,34,01dec1967,145.47693,01dec1968,159.36818,01nov1967,263.77142,01nov1968,270.285,,,,,01dec1967,115.23077,01dec1968,125.81364,3.3408117,2.8377166,4.5104489,2.9867055,195.18535,7.9185371,1.8430282,.015576135,1967,.02665556,0
1968,111677838,129264992,28874372,224875053,255670551,288624308,41420481,326843941,494.6922549009323,2836.192714691162,2774.579038619995,5.6086969,1.0222065,35.599998,01dec1968,128.47858,01dec1969,141.92613,01nov1968,255.27501,01nov1969,241.51973,,,,,01dec1968,113.90714,01dec1969,117.14318,3.3408117,2.8377166,4.5104489,2.9867055,175.73476,7.9502177,1.7475891,.02196357,1968,.05206164,0
1969,111338080,131137551,28897038,217750101,269506068,295584391,41967347,308640283,489.1227711439133,2850.263013839722,2812.011051177979,5.7490907,1.0136031,37.700001,01dec1969,144.08928,01dec1970,145.86,01nov1969,244.63542,01nov1970,243.24001,,,,,01dec1969,117.65179,01dec1970,118.84715,3.3408117,2.8377166,4.5104489,2.9867055,178.06001,7.9551663,1.5966302,.0135114,1969,.089962512,0
